transaction_id,timestamp,ev_id,station_id,duration_minutes,energy_charged_kwh,cost_usd,soc_start_percent,soc_end_percent,charging_speed_kw
TXN001,2025-01-01 06:15:00,EV001,STN001,45,18.5,8.95,15,65,11.0
TXN002,2025-01-01 06:30:00,EV002,STN001,60,24.2,11.75,20,75,7.5
TXN003,2025-01-01 06:45:00,EV003,STN002,75,31.5,15.28,10,70,8.0
TXN004,2025-01-01 07:00:00,EV004,STN002,55,22.8,11.05,25,80,11.0
TXN005,2025-01-01 07:15:00,EV005,STN003,65,27.3,13.25,18,72,7.5
TXN006,2025-01-01 07:30:00,EV006,STN003,50,20.5,9.95,22,75,11.0
TXN007,2025-01-01 07:45:00,EV007,STN004,70,29.4,14.28,12,68,8.0
TXN008,2025-01-01 08:00:00,EV008,STN004,85,35.7,17.35,8,75,7.5
TXN009,2025-01-01 08:15:00,EV009,STN001,55,23.1,11.22,28,80,11.0
TXN010,2025-01-01 08:30:00,EV010,STN002,65,27.5,13.38,20,70,8.0
TXN011,2025-01-01 09:00:00,EV011,STN003,75,31.8,15.45,15,72,7.5
TXN012,2025-01-01 09:15:00,EV012,STN004,45,18.9,9.18,30,78,11.0
TXN013,2025-01-01 09:30:00,EV013,STN001,60,25.2,12.25,12,70,8.0
TXN014,2025-01-01 09:45:00,EV014,STN002,70,29.6,14.38,22,75,7.5
TXN015,2025-01-01 10:00:00,EV015,STN003,55,23.3,11.32,25,80,11.0
TXN016,2025-01-01 10:30:00,EV016,STN004,80,33.6,16.32,10,70,8.0
TXN017,2025-01-01 11:00:00,EV017,STN001,65,27.3,13.28,18,75,7.5
TXN018,2025-01-01 11:30:00,EV018,STN002,50,21.0,10.22,28,80,11.0
TXN019,2025-01-01 12:00:00,EV019,STN003,75,31.5,15.32,12,70,8.0
TXN020,2025-01-01 12:30:00,EV020,STN004,60,25.2,12.26,20,75,7.5
TXN021,2025-01-01 14:00:00,EV021,STN001,55,23.1,11.15,25,80,11.0
TXN022,2025-01-01 14:30:00,EV022,STN002,70,29.4,14.25,15,72,7.5
TXN023,2025-01-01 15:00:00,EV023,STN003,45,18.9,9.14,22,75,8.0
TXN024,2025-01-01 15:30:00,EV024,STN004,65,27.5,13.28,10,70,11.0
TXN025,2025-01-01 16:00:00,EV025,STN001,75,31.5,15.23,18,72,7.5
TXN026,2025-01-01 16:45:00,EV026,STN002,55,23.2,11.22,28,82,11.0
TXN027,2025-01-01 17:15:00,EV027,STN003,60,25.2,12.18,12,70,8.0
TXN028,2025-01-01 17:45:00,EV028,STN004,70,29.4,14.18,20,75,7.5
TXN029,2025-01-01 18:30:00,EV029,STN001,50,21.0,10.15,25,80,11.0
TXN030,2025-01-01 19:00:00,EV030,STN002,65,27.3,13.18,15,70,7.5
TXN031,2025-01-01 19:30:00,EV031,STN003,75,31.5,15.18,22,75,8.0
TXN032,2025-01-01 20:00:00,EV032,STN004,55,23.1,11.18,10,72,11.0
TXN033,2025-01-01 20:30:00,EV001,STN001,80,33.6,16.25,18,75,7.5
TXN034,2025-01-01 21:00:00,EV002,STN002,60,25.2,12.22,28,82,8.0
TXN035,2025-01-01 21:30:00,EV003,STN003,70,29.4,14.28,12,70,11.0
TXN036,2025-01-01 22:00:00,EV004,STN004,45,18.9,9.28,20,75,7.5
TXN037,2025-01-01 22:30:00,EV005,STN001,65,27.3,13.35,25,82,8.0
TXN038,2025-01-01 23:00:00,EV006,STN002,50,21.0,10.28,15,70,11.0
TXN039,2025-01-02 00:00:00,EV007,STN003,75,31.5,15.48,22,75,7.5
TXN040,2025-01-02 01:00:00,EV008,STN004,55,23.1,11.35,10,72,8.0